Id,N_Victimas,Fecha_Siniestro,Hora,Lugar_Del_Hecho,Tipo_De_Calle,Comuna,Pos_X,Pos_Y,Victima,Acusado,Barrios,Rol,Sexo,Edad,Fecha_Fallecimiento,Semestre,Hora_Siniestro,Anio_Siniestro,Mes_Siniestro,Dia_Siniestro,Anio_Fallecimiento,Mes_Fallecimiento,Dia_Fallecimiento,Dia_Semana_Siniestro,Dia_Semana_Fallecimiento
2019-0007,1,2019-01-26,19:34:00,"MITRE, BARTOLOME Y YATAY",CALLE,5,-58.42891604,-34.6107166,Moto,Auto,"['Almagro', 'Boedo']",CONDUCTOR,MASCULINO,35,2019-01-26,1,19,2019,1,26,2019,1,26,sÃ¡bado,sÃ¡bado
2019-0008,1,2019-01-30,22:45:00,"PAZ, GRAL. AV. 16080",AVENIDA,8,-58.47802293,-34.69156793,Moto,Multiple,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",CONDUCTOR,MASCULINO,42,2019-01-31,1,22,2019,1,30,2019,1,31,miÃ©rcoles,jueves
2019-0009,1,2019-01-31,14:55:00,CHACABUCO Y SAN JUAN AV.,AVENIDA,1,-58.37564821,-34.62200207,Moto,Auto,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",CONDUCTOR,MASCULINO,34,2019-01-31,1,14,2019,1,31,2019,1,31,jueves,jueves
2019-0010,2,2019-02-02,07:50:00,DEL LIBERTADOR AV. 4100,AVENIDA,14,-58.42668489,-34.56961468,Peaton,Auto,['Palermo'],PEATON,MASCULINO,42,2019-02-02,1,7,2019,2,2,2019,2,2,sÃ¡bado,sÃ¡bado
2019-0010,2,2019-02-02,07:50:00,DEL LIBERTADOR AV. 4100,AVENIDA,14,-58.42668489,-34.56961468,Peaton,Auto,['Palermo'],PEATON,MASCULINO,59,2019-02-02,1,7,2019,2,2,2019,2,2,sÃ¡bado,sÃ¡bado
2019-0011,1,2019-02-10,01:00:00,"PAZ, GRAL. AV. Y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,9,-58.5183993,-34.66252488,Peaton,Auto,"['Liniers', 'Mataderos', 'Parque Avellaneda']",PEATON,MASCULINO,42,2019-02-10,1,1,2019,2,10,2019,2,10,domingo,domingo
2019-0012,1,2019-02-17,03:16:00,"CASTAÑARES AV. Y GORDILLO, TIMOTEO",AVENIDA,8,-58.48432691,-34.67665828,Moto,Auto,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",CONDUCTOR,MASCULINO,31,2019-02-20,1,3,2019,2,17,2019,2,20,domingo,miÃ©rcoles
2019-0013,1,2019-02-20,07:30:00,SALVIGNY Y MOM,CALLE,7,-58.4338383,-34.64457699,Peaton,Auto,"['Flores', 'Parque Chacabuco']",PEATON,MASCULINO,39,2019-03-02,1,7,2019,2,20,2019,3,2,miÃ©rcoles,sÃ¡bado
2019-0014,1,2019-02-20,17:30:00,"LAMARCA, EMILIO 5402",CALLE,11,-58.51664939,-34.58657938,Moto,Objeto Fijo,"['Villa General Mitre', 'Villa Devoto', 'Villa del Parque', 'Villa Santa Rita']",CONDUCTOR,MASCULINO,69,2019-02-20,1,17,2019,2,20,2019,2,20,miÃ©rcoles,miÃ©rcoles
2019-0015,1,2019-02-23,06:57:00,SAN MARTIN AV. 5638,AVENIDA,11,-58.49613012,-34.59703502,Auto,Objeto Fijo,"['Villa General Mitre', 'Villa Devoto', 'Villa del Parque', 'Villa Santa Rita']",CONDUCTOR,MASCULINO,21,2019-02-23,1,6,2019,2,23,2019,2,23,sÃ¡bado,sÃ¡bado
2019-0016,1,2019-02-24,02:00:00,"CARRILLO, RAMON, DR. Y FINOCHIETTO ENRIQUE DR.",CALLE,4,-58.38313603,-34.63356284,Moto,Pasajeros,"['La Boca', 'Barracas', 'Parque Patricios', 'Nueva Pompeya']",CONDUCTOR,MASCULINO,40,2019-02-24,1,2,2019,2,24,2019,2,24,domingo,domingo
2019-0017,1,2019-03-03,07:00:00,MEXICO Y PICHINCHA,CALLE,3,-58.39914719,-34.61632317,Auto,Pasajeros,"['Balvanera', 'San Cristóbal']",CONDUCTOR,MASCULINO,22,2019-03-07,1,7,2019,3,3,2019,3,7,domingo,jueves
2019-0018,1,2019-03-03,23:30:00,"CANTILO, INT. Y UDAONDO, GUILLERMO AV.",AUTOPISTA,13,-58.44927253,-34.54048625,Peaton,Auto,"['Núñez', 'Belgrano', 'Colegiales']",PEATON,FEMENINO,29,2019-03-03,1,23,2019,3,3,2019,3,3,domingo,domingo
